dial,value,config,turtle_winrate,warlord_winrate,greedy_winrate,avg_rounds,pct_close,pct_knockout,pct_maxrounds,avg_challenges,two_lead_broken_rate,avg_margin,avg_spoiled_per_turn,pct_turns_chained,avg_chain_len,faction_spread,seat0_advantage
(baseline),default,sweep_probe,11.62,33.1,27.6,9.77,87.0,12.7,0.3,4.98,81.7,1.065,0.108,36.7,3.39,10.2,1.18
findings_cap,2,sweep_probe,11.9,32.38,27.8,10.26,85.6,12.9,1.5,4.94,81.5,1.069,0.195,38.5,3.84,10.7,1.21
findings_cap,3,sweep_probe,11.62,33.1,27.6,9.77,87.0,12.7,0.3,4.98,81.7,1.065,0.108,36.7,3.39,10.2,1.18
findings_cap,4,sweep_probe,11.6,33.2,27.57,9.72,87.2,12.6,0.2,4.99,81.7,1.061,0.088,36.5,3.34,10.0,1.18
clock_length,7,sweep_probe,11.12,35.12,26.84,9.21,89.2,10.5,0.3,4.37,83.4,1.008,0.1,36.0,3.45,9.8,1.17
clock_length,9,sweep_probe,11.62,33.1,27.6,9.77,87.0,12.7,0.3,4.98,81.7,1.065,0.108,36.7,3.39,10.2,1.18
clock_length,11,sweep_probe,11.62,32.33,27.99,10.28,84.9,14.8,0.3,5.56,79.6,1.122,0.115,37.2,3.32,11.0,1.17
escalation_threshold,3,sweep_probe,11.78,35.77,26.18,8.77,90.2,9.7,0.1,4.14,84.3,0.993,0.079,35.1,2.92,9.0,1.16
escalation_threshold,5,sweep_probe,11.62,33.1,27.6,9.77,87.0,12.7,0.3,4.98,81.7,1.065,0.108,36.7,3.39,10.2,1.18
escalation_threshold,7,sweep_probe,11.8,31.95,28.1,10.61,84.0,15.6,0.4,5.73,79.3,1.126,0.135,37.8,3.66,10.9,1.19
toll_amount,0,sweep_probe,12.45,33.67,26.91,8.95,90.5,9.3,0.2,5.14,86.0,0.962,0.166,38.3,4.93,11.2,1.16
toll_amount,1,sweep_probe,11.62,33.1,27.6,9.77,87.0,12.7,0.3,4.98,81.7,1.065,0.108,36.7,3.39,10.2,1.18
toll_amount,2,sweep_probe,11.47,35.2,26.64,11.04,84.7,15.1,0.1,4.89,80.2,1.091,0.084,27.6,3.07,8.2,1.27
extra_ratio_steps,0,sweep_probe,11.62,33.1,27.6,9.77,87.0,12.7,0.3,4.98,81.7,1.065,0.108,36.7,3.39,10.2,1.18
extra_ratio_steps,1,sweep_probe,11.65,38.02,25.15,9.38,90.9,8.8,0.3,5.15,87.0,0.916,0.132,38.2,3.43,14.7,1.19
field_row_size,4,sweep_probe,12.8,30.05,28.5,8.99,88.6,11.2,0.2,5.11,83.4,1.04,0.116,40.9,3.14,7.9,1.22
field_row_size,6,sweep_probe,11.62,33.1,27.6,9.77,87.0,12.7,0.3,4.98,81.7,1.065,0.108,36.7,3.39,10.2,1.18
field_row_size,8,sweep_probe,9.8,34.4,27.86,10.55,87.9,12.0,0.1,5.01,82.6,1.013,0.096,33.1,3.3,10.7,1.19
start_specimens,1,sweep_probe,13.57,26.27,30.05,8.94,88.5,11.3,0.2,5.16,82.7,1.049,0.073,46.6,2.38,8.2,1.08
start_specimens,3,sweep_probe,11.62,33.1,27.6,9.77,87.0,12.7,0.3,4.98,81.7,1.065,0.108,36.7,3.39,10.2,1.18
start_specimens,5,sweep_probe,8.25,39.52,26.07,10.68,85.1,14.6,0.3,4.82,80.5,1.066,0.111,30.3,3.94,9.3,1.23
capture_garrison_mode,excess,sweep_probe,11.62,33.1,27.6,9.77,87.0,12.7,0.3,4.98,81.7,1.065,0.108,36.7,3.39,10.2,1.18
capture_garrison_mode,full,sweep_probe,10.28,29.48,30.1,10.32,84.7,14.8,0.5,4.7,78.3,1.165,0.136,37.6,3.52,8.1,1.25
